                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.72376,                0.62687,                 1.2137,                0.96021,                0.94846,                0.98221,                0.86094,                0.53031,                0.34416,                 1.1075,               0.005149,               0.005149,               0.005149
                    100,                0.71764,                0.62472,                 1.2154,                0.95546,                0.96277,                0.98317,                0.86342,                0.52923,                 0.3374,                 1.1072,              0.0050995,              0.0050995,              0.0050995
                    101,                0.71238,                0.61004,                 1.2056,                0.95617,                0.95993,                 0.9844,                0.86594,                0.51827,                0.33657,                 1.1002,                0.00505,                0.00505,                0.00505
                    102,                0.70789,                0.60105,                  1.206,                0.95441,                0.96409,                 0.9837,                0.86762,                0.52004,                0.33436,                 1.0998,              0.0050005,              0.0050005,              0.0050005
                    103,                0.70864,                0.60589,                 1.2009,                0.95613,                0.96196,                0.98449,                0.86894,                0.51781,                0.32929,                 1.0989,               0.004951,               0.004951,               0.004951
                    104,                0.70212,                0.59915,                 1.2055,                0.95536,                0.96034,                0.98305,                0.86793,                0.52203,                0.33304,                  1.101,              0.0049015,              0.0049015,              0.0049015
                    105,                0.70447,                0.60099,                 1.2053,                0.95993,                 0.9598,                0.98437,                0.87254,                0.51153,                0.32339,                 1.0927,               0.004852,               0.004852,               0.004852
                    106,                0.69948,                0.61294,                 1.1972,                0.96351,                0.95999,                0.98484,                0.87211,                0.51244,                0.32688,                 1.0924,              0.0048025,              0.0048025,              0.0048025
                    107,                0.69882,                0.59962,                 1.1937,                 0.9596,                0.96167,                0.98438,                0.87011,                0.51043,                  0.328,                 1.0875,               0.004753,               0.004753,               0.004753
                    108,                0.69521,                0.59624,                 1.1907,                0.95473,                 0.9646,                0.98419,                 0.8743,                0.50299,                0.32302,                 1.0804,              0.0047035,              0.0047035,              0.0047035
                    109,                0.69837,                0.60619,                 1.1996,                0.96236,                0.96082,                0.98491,                0.87544,                 0.5038,                 0.3263,                 1.0821,               0.004654,               0.004654,               0.004654
                    110,                0.69685,                 0.5945,                 1.1965,                0.96031,                0.96347,                0.98384,                0.87321,                0.50639,                0.32278,                 1.0823,              0.0046045,              0.0046045,              0.0046045
                    111,                0.68837,                0.57964,                 1.1901,                0.95969,                0.96554,                0.98485,                0.87613,                0.49744,                0.31773,                 1.0777,               0.004555,               0.004555,               0.004555
                    112,                0.68726,                0.58025,                 1.1925,                0.95679,                0.96916,                0.98562,                0.87831,                0.49766,                0.31467,                 1.0756,              0.0045055,              0.0045055,              0.0045055
                    113,                0.68712,                0.58691,                 1.1924,                0.95924,                0.96423,                0.98455,                0.87816,                0.49285,                 0.3197,                 1.0729,               0.004456,               0.004456,               0.004456
                    114,                0.69086,                 0.5873,                 1.1914,                0.96161,                  0.965,                0.98498,                0.87811,                 0.4903,                0.31433,                 1.0702,              0.0044065,              0.0044065,              0.0044065
                    115,                0.66577,                 0.5699,                 1.1708,                 0.9616,                0.96726,                0.98549,                0.88035,                0.48536,                0.31164,                 1.0659,               0.004357,               0.004357,               0.004357
                    116,                 0.6856,                 0.5815,                 1.1837,                0.96292,                 0.9684,                0.98619,                0.88249,                0.48464,                0.30953,                 1.0663,              0.0043075,              0.0043075,              0.0043075
                    117,                0.68149,                0.58894,                 1.1861,                0.96533,                0.96794,                0.98558,                0.88182,                0.48235,                0.30828,                 1.0623,               0.004258,               0.004258,               0.004258
                    118,                0.67367,                 0.5583,                 1.1766,                0.95961,                0.97283,                0.98633,                0.88257,                0.48339,                0.30845,                 1.0615,              0.0042085,              0.0042085,              0.0042085
                    119,                0.67161,                0.56106,                 1.1772,                0.96152,                0.96458,                0.98648,                0.88263,                0.48303,                0.30893,                 1.0631,               0.004159,               0.004159,               0.004159
                    120,                0.67819,                0.56818,                 1.1837,                0.96242,                0.96424,                0.98704,                0.88342,                0.48027,                0.30791,                 1.0596,              0.0041095,              0.0041095,              0.0041095
                    121,                 0.6696,                0.56782,                 1.1792,                0.96393,                0.96081,                0.98553,                0.88421,                0.48059,                0.30797,                  1.058,                0.00406,                0.00406,                0.00406
                    122,                0.67936,                0.57598,                 1.1852,                0.96053,                0.96759,                0.98606,                0.88522,                0.47482,                0.30592,                 1.0557,              0.0040105,              0.0040105,              0.0040105
                    123,                0.66328,                0.56373,                 1.1769,                0.96002,                0.96779,                0.98632,                0.88599,                0.47099,                0.30037,                 1.0519,               0.003961,               0.003961,               0.003961
                    124,                0.65642,                0.55057,                 1.1676,                0.96071,                0.96919,                 0.9862,                0.88856,                0.46983,                0.30044,                 1.0503,              0.0039115,              0.0039115,              0.0039115
                    125,                0.66343,                0.55869,                 1.1749,                 0.9599,                0.96864,                 0.9869,                0.88974,                0.46736,                 0.2985,                  1.049,               0.003862,               0.003862,               0.003862
                    126,                 0.6638,                0.55989,                 1.1746,                0.96534,                 0.9652,                0.98692,                0.88879,                0.46679,                0.30187,                 1.0483,              0.0038125,              0.0038125,              0.0038125
                    127,                0.66386,                0.56094,                 1.1748,                0.96292,                  0.968,                0.98727,                0.88949,                0.46422,                0.29983,                 1.0444,               0.003763,               0.003763,               0.003763
                    128,                0.65288,                0.54847,                 1.1665,                0.96359,                0.97146,                0.98742,                0.89161,                0.46182,                0.29814,                 1.0444,              0.0037135,              0.0037135,              0.0037135
                    129,                0.65822,                0.56148,                 1.1686,                0.96692,                0.96747,                0.98741,                 0.8935,                0.45646,                0.29561,                 1.0384,               0.003664,               0.003664,               0.003664
                    130,                0.65855,                0.54641,                 1.1763,                0.96631,                0.96634,                0.98754,                0.89298,                0.45672,                0.29679,                 1.0373,              0.0036145,              0.0036145,              0.0036145
                    131,                0.65809,                0.54648,                 1.1639,                0.96478,                0.96972,                0.98752,                0.89356,                0.45596,                0.29491,                 1.0362,               0.003565,               0.003565,               0.003565
                    132,                0.64891,                0.54395,                 1.1661,                0.96062,                0.97445,                0.98776,                0.89467,                0.45434,                0.29213,                 1.0346,              0.0035155,              0.0035155,              0.0035155
                    133,                 0.6414,                0.53652,                 1.1568,                0.95921,                0.97573,                0.98733,                0.89558,                0.45132,                0.29246,                  1.032,               0.003466,               0.003466,               0.003466
                    134,                0.63448,                0.53278,                 1.1531,                0.96544,                0.96891,                 0.9873,                0.89696,                0.45011,                0.28953,                 1.0306,              0.0034165,              0.0034165,              0.0034165
                    135,                0.64425,                0.55614,                 1.1552,                0.96306,                0.97199,                0.98783,                0.89753,                0.44716,                0.28728,                  1.028,               0.003367,               0.003367,               0.003367
                    136,                0.64485,                0.53808,                 1.1632,                0.96512,                0.96876,                 0.9871,                0.89738,                0.44571,                0.28999,                 1.0275,              0.0033175,              0.0033175,              0.0033175
                    137,                0.63725,                0.52268,                 1.1605,                0.96645,                0.96678,                0.98689,                0.89768,                0.44404,                0.28808,                  1.026,               0.003268,               0.003268,               0.003268
